rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_at_checkout,delay_of_previous_client_in_minutes,previous_client_late,delay_of_rental_start_in_minutes,client_rental_start_impacted
511639,370585,connect,ended,-15.0,563782.0,570.0,checkout not delayed,136.0,yes,-434.0,no
519491,312389,mobile,ended,58.0,545639.0,420.0,checkout delayed,140.0,yes,-280.0,no
521156,392479,mobile,ended,,537298.0,0.0,checkout not delayed,,no,,no
525044,349751,mobile,ended,,510607.0,60.0,checkout not delayed,-113.0,no,-173.0,no
528808,181625,connect,ended,-76.0,557404.0,330.0,checkout not delayed,-352.0,no,-682.0,no
533670,320824,connect,ended,-6.0,556563.0,630.0,checkout not delayed,23.0,yes,-607.0,no
534827,404169,mobile,ended,-7.0,531158.0,90.0,checkout not delayed,29.0,yes,-61.0,no
535611,397814,mobile,ended,68.0,535512.0,300.0,checkout delayed,44.0,yes,-256.0,no
535770,352436,mobile,ended,74.0,524703.0,60.0,checkout delayed,7.0,yes,-53.0,no
537576,397470,mobile,ended,18.0,539005.0,0.0,checkout delayed,-29.0,no,-29.0,no
540217,398802,mobile,ended,-988.0,543426.0,720.0,checkout not delayed,51.0,yes,-669.0,no
540479,374684,mobile,ended,12.0,539751.0,0.0,checkout delayed,3.0,yes,3.0,yes
541862,382364,mobile,ended,125.0,540607.0,0.0,checkout delayed,1.0,yes,1.0,yes
542300,307595,mobile,ended,,539897.0,30.0,checkout not delayed,,no,,no
542374,409676,mobile,ended,50.0,540444.0,180.0,checkout delayed,131.0,yes,-49.0,no
543328,358772,connect,ended,-9.0,552619.0,240.0,checkout not delayed,-38.0,no,-278.0,no
543679,225795,connect,ended,64.0,540663.0,540.0,checkout delayed,60.0,yes,-480.0,no
543768,374169,connect,canceled,,543010.0,210.0,checkout not delayed,42.0,yes,-168.0,no
543808,369230,mobile,ended,75.0,536315.0,60.0,checkout delayed,-191.0,no,-251.0,no
546160,352528,connect,canceled,,546578.0,630.0,checkout not delayed,-536.0,no,-1166.0,no
546477,383309,mobile,ended,16.0,548486.0,660.0,checkout delayed,-3.0,no,-663.0,no
547188,231676,mobile,ended,266.0,535868.0,30.0,checkout delayed,16.0,yes,-14.0,no
548912,411521,mobile,ended,225.0,553683.0,60.0,checkout delayed,42.0,yes,-18.0,no
550248,382901,mobile,ended,-127.0,545782.0,60.0,checkout not delayed,-9.0,no,-69.0,no
550723,380886,mobile,ended,,545855.0,120.0,checkout not delayed,74.0,yes,-46.0,no
551069,359880,connect,ended,-22.0,549192.0,180.0,checkout not delayed,45.0,yes,-135.0,no
552330,384657,connect,ended,23.0,554800.0,0.0,checkout delayed,-672.0,no,-672.0,no
552342,376619,mobile,ended,-965.0,547312.0,0.0,checkout not delayed,-77.0,no,-77.0,no
552425,385625,connect,ended,-102.0,550476.0,30.0,checkout not delayed,-236.0,no,-266.0,no
553367,385783,mobile,ended,24.0,519328.0,150.0,checkout delayed,-4.0,no,-154.0,no
554695,402993,mobile,ended,17.0,560722.0,720.0,checkout delayed,-33.0,no,-753.0,no
557674,375915,mobile,ended,15.0,550183.0,480.0,checkout delayed,-1333.0,no,-1813.0,no
558088,245154,connect,ended,-40.0,566170.0,180.0,checkout not delayed,-2.0,no,-182.0,no
558250,375126,connect,ended,-4.0,549813.0,600.0,checkout not delayed,-58.0,no,-658.0,no
558525,297962,connect,ended,-256.0,555341.0,30.0,checkout not delayed,-24.0,no,-54.0,no
559428,289720,connect,ended,-16.0,520878.0,90.0,checkout not delayed,-42.0,no,-132.0,no
559435,281955,mobile,ended,18.0,553797.0,60.0,checkout delayed,-9.0,no,-69.0,no
559781,408776,mobile,ended,44.0,540868.0,0.0,checkout delayed,26.0,yes,26.0,yes
561368,249274,connect,ended,-3.0,558711.0,30.0,checkout not delayed,10.0,yes,-20.0,no
561408,310444,connect,ended,-54.0,545475.0,360.0,checkout not delayed,54.0,yes,-306.0,no
561450,192179,connect,ended,7.0,541144.0,540.0,checkout delayed,46.0,yes,-494.0,no
563552,241021,connect,ended,25.0,567278.0,60.0,checkout delayed,-425.0,no,-485.0,no
564045,381123,mobile,ended,99.0,554558.0,660.0,checkout delayed,-13.0,no,-673.0,no
564414,195888,mobile,ended,20.0,564484.0,180.0,checkout delayed,-347.0,no,-527.0,no
564500,382884,mobile,ended,69.0,555024.0,420.0,checkout delayed,63.0,yes,-357.0,no
564627,341431,mobile,canceled,,552005.0,150.0,checkout not delayed,-88.0,no,-238.0,no
520147,392147,mobile,ended,1.0,536236.0,390.0,checkout delayed,3.0,yes,-387.0,no
524487,380866,mobile,ended,-15.0,545830.0,120.0,checkout not delayed,58.0,yes,-62.0,no
529239,354515,mobile,ended,10.0,565896.0,360.0,checkout delayed,-405.0,no,-765.0,no
566661,390467,connect,ended,-651.0,569297.0,570.0,checkout not delayed,-451.0,no,-1021.0,no
567120,415953,mobile,ended,27.0,567178.0,150.0,checkout delayed,145.0,yes,-5.0,no
567278,241021,connect,ended,-425.0,563925.0,240.0,checkout not delayed,-31.0,no,-271.0,no
567636,376840,connect,ended,101.0,564959.0,0.0,checkout delayed,-2.0,no,-2.0,no
568657,317378,connect,canceled,,566412.0,210.0,checkout not delayed,-129.0,no,-339.0,no
568817,314605,mobile,ended,43.0,565775.0,360.0,checkout delayed,8.0,yes,-352.0,no
569498,402528,connect,ended,-173.0,562527.0,630.0,checkout not delayed,-203.0,no,-833.0,no
570350,365926,connect,ended,-55.0,570337.0,60.0,checkout not delayed,-37.0,no,-97.0,no
570819,353425,connect,ended,-17.0,573393.0,120.0,checkout not delayed,-551.0,no,-671.0,no
516550,377700,mobile,canceled,,545076.0,720.0,checkout not delayed,-35.0,no,-755.0,no
522507,390927,connect,ended,183.0,523328.0,510.0,checkout delayed,-133.0,no,-643.0,no
527981,358978,connect,ended,-60.0,541898.0,210.0,checkout not delayed,-45.0,no,-255.0,no
529128,382700,mobile,ended,6.0,506728.0,0.0,checkout delayed,-67.0,no,-67.0,no
529233,399528,connect,ended,-53.0,529252.0,480.0,checkout not delayed,-104.0,no,-584.0,no
573034,227100,mobile,ended,4.0,569554.0,120.0,checkout delayed,-15.0,no,-135.0,no
574568,301512,mobile,ended,110.0,572909.0,0.0,checkout delayed,13.0,yes,13.0,yes
574868,371387,mobile,ended,-129.0,571864.0,720.0,checkout not delayed,-232.0,no,-952.0,no
521865,401475,connect,ended,113.0,514932.0,540.0,checkout delayed,36.0,yes,-504.0,no
533364,344091,mobile,ended,31.0,536325.0,180.0,checkout delayed,-23.0,no,-203.0,no
535519,353425,connect,ended,-166.0,533413.0,0.0,checkout not delayed,4.0,yes,4.0,yes
537441,408821,mobile,ended,25.0,541519.0,90.0,checkout delayed,95.0,yes,5.0,yes
527199,388767,mobile,ended,-79.0,513582.0,180.0,checkout not delayed,28.0,yes,-152.0,no
536969,384479,mobile,ended,-29.0,539733.0,600.0,checkout not delayed,73.0,yes,-527.0,no
537215,313048,mobile,ended,-13.0,532312.0,0.0,checkout not delayed,-115.0,no,-115.0,no
538136,175289,connect,ended,6.0,547208.0,570.0,checkout delayed,5.0,yes,-565.0,no
527226,321582,mobile,ended,97.0,536220.0,270.0,checkout delayed,-10.0,no,-280.0,no
528088,383110,connect,canceled,,546057.0,150.0,checkout not delayed,-86.0,no,-236.0,no
529301,320824,connect,ended,-308.0,551094.0,540.0,checkout not delayed,-43.0,no,-583.0,no
537841,265664,connect,ended,186.0,536761.0,240.0,checkout delayed,-3.0,no,-243.0,no
538906,334190,connect,canceled,,556215.0,630.0,checkout not delayed,77.0,yes,-553.0,no
539618,297119,mobile,ended,101.0,538807.0,30.0,checkout delayed,7.0,yes,-23.0,no
540222,360474,connect,ended,71.0,539404.0,180.0,checkout delayed,-16.0,no,-196.0,no
540924,374809,connect,ended,2.0,547311.0,240.0,checkout delayed,7.0,yes,-233.0,no
540942,325695,mobile,ended,2.0,536685.0,600.0,checkout delayed,-79.0,no,-679.0,no
541535,385642,mobile,ended,-21.0,543878.0,630.0,checkout not delayed,187.0,yes,-443.0,no
542320,377924,mobile,canceled,,541053.0,120.0,checkout not delayed,-126.0,no,-246.0,no
542401,410393,mobile,ended,7.0,541971.0,180.0,checkout delayed,137.0,yes,-43.0,no
542519,356106,connect,ended,27.0,545322.0,270.0,checkout delayed,-55.0,no,-325.0,no
543625,366071,mobile,ended,2.0,538192.0,720.0,checkout delayed,-64.0,no,-784.0,no
544473,378931,mobile,ended,-4.0,536978.0,60.0,checkout not delayed,271.0,yes,211.0,yes
539328,333407,mobile,ended,-107.0,540590.0,90.0,checkout not delayed,-57.0,no,-147.0,no
539760,216148,connect,ended,194.0,537416.0,0.0,checkout delayed,-12.0,no,-12.0,no
540108,392813,mobile,ended,840.0,540368.0,120.0,checkout delayed,102.0,yes,-18.0,no
543010,374169,connect,ended,42.0,536789.0,120.0,checkout delayed,-188.0,no,-308.0,no
543108,376574,mobile,ended,23.0,514474.0,0.0,checkout delayed,81.0,yes,81.0,yes
543513,404130,connect,ended,-82.0,541766.0,0.0,checkout not delayed,-581.0,no,-581.0,no
543822,362101,mobile,ended,-7.0,511338.0,30.0,checkout not delayed,-63.0,no,-93.0,no
543866,406999,mobile,ended,14.0,541317.0,150.0,checkout delayed,-48.0,no,-198.0,no
544792,214635,connect,ended,40.0,545831.0,90.0,checkout delayed,11.0,yes,-79.0,no
545204,409750,mobile,ended,-50.0,544363.0,660.0,checkout not delayed,-81.0,no,-741.0,no
539915,314455,mobile,canceled,,533006.0,180.0,checkout not delayed,,no,,no
539987,383110,connect,ended,76.0,528385.0,480.0,checkout delayed,-11.0,no,-491.0,no
540747,214635,connect,ended,-972.0,546332.0,60.0,checkout not delayed,31.0,yes,-29.0,no
540885,294883,mobile,ended,18.0,542526.0,0.0,checkout delayed,0.0,no,0.0,no
