rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_at_checkout,delay_of_previous_client_in_minutes,previous_client_late,delay_of_rental_start_in_minutes,client_rental_start_impacted,state_encoded
505000,363965,mobile,canceled,,,,checkout not delayed,,no,,no,1
507750,269550,mobile,ended,-81.0,,,checkout not delayed,,no,,no,0
508131,359049,connect,ended,70.0,,,checkout delayed,,no,,no,0
508865,299063,connect,canceled,,,,checkout not delayed,,no,,no,1
511440,313932,mobile,ended,,,,checkout not delayed,,no,,no,0
511626,398802,mobile,ended,-203.0,,,checkout not delayed,,no,,no,0
511639,370585,connect,ended,-15.0,563782.0,570.0,checkout not delayed,136.0,yes,-434.0,no,0
512303,371242,mobile,ended,-44.0,,,checkout not delayed,,no,,no,0
512475,322502,mobile,canceled,,,,checkout not delayed,,no,,no,1
513434,256528,connect,ended,23.0,,,checkout delayed,,no,,no,0
513743,330658,mobile,canceled,,,,checkout not delayed,,no,,no,1
514161,366037,connect,canceled,,,,checkout not delayed,,no,,no,1
514257,402596,mobile,ended,214.0,,,checkout delayed,,no,,no,0
515147,257466,mobile,ended,15.0,,,checkout delayed,,no,,no,0
516586,347394,mobile,canceled,,,,checkout not delayed,,no,,no,1
518282,364160,connect,ended,-81.0,,,checkout not delayed,,no,,no,0
518366,397217,mobile,ended,-156.0,,,checkout not delayed,,no,,no,0
518895,398816,mobile,ended,66.0,,,checkout delayed,,no,,no,0
518938,382243,mobile,ended,215.0,,,checkout delayed,,no,,no,0
519491,312389,mobile,ended,58.0,545639.0,420.0,checkout delayed,140.0,yes,-280.0,no,0
519795,383720,connect,ended,-159.0,,,checkout not delayed,,no,,no,0
520095,404496,mobile,ended,-16.0,,,checkout not delayed,,no,,no,0
520285,243659,mobile,canceled,,,,checkout not delayed,,no,,no,1
521156,392479,mobile,ended,,537298.0,0.0,checkout not delayed,,no,,no,0
521191,224745,mobile,ended,1452.0,,,checkout delayed,,no,,no,0
521352,403184,mobile,ended,-29.0,,,checkout not delayed,,no,,no,0
521482,254172,mobile,canceled,,,,checkout not delayed,,no,,no,1
521734,190995,mobile,ended,-251.0,,,checkout not delayed,,no,,no,0
522602,391287,mobile,ended,35.0,,,checkout delayed,,no,,no,0
522717,335353,mobile,ended,,,,checkout not delayed,,no,,no,0
523800,352799,mobile,ended,-345.0,,,checkout not delayed,,no,,no,0
