model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day
Citroën,140411,100,diesel,black,convertible,True,True,False,False,True,True,True,106
Citroën,13929,317,petrol,grey,convertible,True,True,False,False,False,True,True,264
Citroën,183297,120,diesel,white,convertible,False,False,False,False,True,False,True,101
Citroën,128035,135,diesel,red,convertible,True,True,False,False,True,True,True,158
Citroën,97097,160,diesel,silver,convertible,True,True,False,False,False,True,True,183
Citroën,152352,225,petrol,black,convertible,True,True,False,False,True,True,True,131
Citroën,205219,145,diesel,grey,convertible,True,True,False,False,True,True,True,111
Citroën,115560,105,petrol,white,convertible,True,True,False,False,False,True,True,78
Peugeot,123886,125,petrol,black,convertible,True,False,False,False,False,True,True,79
Citroën,139541,135,diesel,white,convertible,False,False,False,False,True,False,True,132
Citroën,77115,135,diesel,blue,convertible,True,True,False,False,True,False,True,139
Citroën,228000,145,diesel,black,convertible,True,True,False,False,True,False,True,115
Citroën,132025,135,diesel,blue,convertible,True,True,False,False,True,True,True,147
Citroën,77061,135,diesel,black,convertible,True,True,False,False,True,True,True,191
Peugeot,174631,120,diesel,black,convertible,True,True,False,False,False,False,True,102
Peugeot,208945,130,diesel,grey,convertible,True,True,False,False,True,False,True,91
Peugeot,21167,135,petrol,white,convertible,False,False,True,False,False,False,False,148
Peugeot,24521,270,petrol,grey,convertible,True,False,False,False,False,False,True,96
Citroën,205474,145,diesel,grey,convertible,True,True,False,False,True,True,True,105
Peugeot,128940,110,petrol,black,convertible,True,False,False,False,False,False,True,88
Peugeot,126213,225,petrol,white,convertible,False,False,False,False,False,True,True,130
Peugeot,24868,100,petrol,grey,convertible,False,True,False,False,False,False,True,176
Citroën,90401,135,diesel,grey,convertible,True,True,False,False,True,True,True,162
Peugeot,46963,140,diesel,orange,convertible,False,True,False,False,False,True,True,153
Peugeot,43662,180,petrol,orange,convertible,True,False,False,False,True,False,True,144
Peugeot,196092,85,petrol,blue,convertible,True,False,False,False,False,False,False,42
Peugeot,113678,190,diesel,black,convertible,True,True,False,False,True,True,True,173
Citroën,65988,135,diesel,grey,convertible,True,True,False,False,True,True,True,169
Peugeot,123809,125,petrol,black,convertible,True,False,False,False,False,True,True,81
Citroën,181252,120,diesel,black,convertible,True,True,False,False,True,False,True,105
Citroën,195114,105,diesel,red,convertible,True,True,False,False,False,True,True,99
Peugeot,82761,110,petrol,grey,convertible,True,False,False,False,False,True,True,97
Peugeot,25050,100,petrol,grey,convertible,False,True,False,False,False,False,True,176
Citroën,64832,135,diesel,grey,convertible,True,True,False,False,True,True,True,166
Peugeot,240788,120,diesel,grey,convertible,True,False,False,False,False,False,True,74
